CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
D18190898,DB,DEUTSCHE BK AG,596263,11700,20.2M,396.3K,+2%,0.21%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,170990,96832,644K,364.7K,+130.6%,<.01%
46222L108,IONQ,IONQ INC,26943,6419,1.44M,341.88K,+31.3%,0.01%
H2927K103,AMRZ,AMRIZE LTD,6253,6253,333.25K,333.25K,NEW,<.01%
35137L105,FOXA,FOX CORP,39805,6252,2.08M,326.06K,+18.6%,0.02%
M4056D110,ENLT,ENLIGHT RENEWABLE ENERGY LTD,3496,3496,308.6K,308.6K,NEW,<.01%
466313103,JBL,JABIL INC,19124,788,7.37M,303.76K,+4.3%,0.08%
29446Y502,EQX,EQUINOX GOLD CORP,28800,28800,280.54K,280.54K,NEW,<.01%
64125C109,NBIX,NEUROCRINE BIOSCIENCES INC,5808,1598,978.82K,269.31K,+38%,0.01%
775711104,ROL,ROLLINS INC,13265,6151,553.68K,256.74K,+86.5%,<.01%
039483102,ADM,ARCHER DANIELS MIDLAND CO,183097,2564,13.99M,195.89K,+1.4%,0.14%
384109104,GGG,GRACO INC,4063,2392,307.2K,180.86K,+143.1%,<.01%
008474108,AEM,AGNICO EAGLE MINES LTD,14533,1087,2.26M,168.83K,+8.1%,0.02%
697900108,PAAS,PAN AMERN SILVER CORP,20280,3138,908.83K,140.63K,+18.3%,<.01%
36828A101,GEV,GE VERNOVA INC,31097,114,36.53M,133.93K,+0.4%,0.38%
G8068L108,SN,SHARKNINJA INC,838,838,127.6K,127.6K,NEW,<.01%
955306105,WST,WEST PHARMACEUTICAL SVSC INC,10024,349,3.6M,125.29K,+3.6%,0.04%
46266C105,IQV,IQVIA HLDGS INC,11259,492,2.18M,95.06K,+4.6%,0.02%
87807B107,TRP,TC ENERGY CORP,63724,871,4.22M,57.66K,+1.4%,0.04%
063671101,BMO,BANK MONTREAL MEDIUM,22522,309,3.98M,54.6K,+1.4%,0.04%
