CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
389638107,ETHE,Grayscale Ethereum Trust,465178,-164637,4.62M,-1.64M,-26.1%,0.03%
46120E602,ISRG,Intuitive Surgical Inc,52065,-4924,17.8M,-1.68M,-8.6%,0.12%
92532F100,VRTX,Vertex Pharmaceuticals Inc,115671,-4838,40.71M,-1.7M,-4%,0.27%
03662Q105,ANSS,ANSYS Inc,74407,-5276,24.57M,-1.74M,-6.6%,0.16%
90214J101,,2U Inc,8783754,-541851,35.4M,-2.18M,-5.8%,0.23%
03969T109,ARCT,Arcturus Therapeutics Holdings,1906996,-78425,54.69M,-2.25M,-4%,0.36%
244199105,DE,Deere & Co,117018,-6504,47.41M,-2.64M,-5.3%,0.31%
G6683N103,NU,NU Holdings Ltd/Cayman Islands,3934538,-335122,31.04M,-2.64M,-7.8%,0.21%
021369103,ALTR,Altair Engineering Inc,88952,-37050,6.75M,-2.81M,-29.4%,0.04%
594918104,MSFT,Microsoft Corp,58969,-9094,20.08M,-3.1M,-13.4%,0.13%
M3760D101,ESLT,Elbit Systems Ltd,118897,-16618,24.84M,-3.47M,-12.3%,0.16%
157085101,CERS,Cerus Corp,20657391,-1442728,50.82M,-3.55M,-6.5%,0.34%
86877M209,,Surface Oncology Inc,1412077,-4084069,1.23M,-3.55M,-74.3%,<.01%
M85548101,SSYS,Stratasys Ltd,1578513,-217228,28.03M,-3.86M,-12.1%,0.19%
09175G104,QBTC.TO,Bitcoin Fund/The,0,-128634,0,-3.9M,CLOSE,0%
M5216V106,GLBE,Global-e Online Ltd,1081123,-96640,44.26M,-3.96M,-8.2%,0.29%
90184D100,TWST,Twist Bioscience Corp,6959240,-219872,142.39M,-4.5M,-3.1%,0.94%
D6T690109,,SLM Solutions Group AG,0,-268435,0,-5.64M,CLOSE,0%
389637109,GBTC,Grayscale Bitcoin Trust BTC,5820591,-315237,111.7M,-6.05M,-5.1%,0.74%
87918A105,TDOC,Teladoc Health Inc,20344101,-240079,515.11M,-6.08M,-1.2%,3.4%
07373V105,BEAM,Beam Therapeutics Inc,8382595,-190834,267.66M,-6.09M,-2.2%,1.8%
462222100,IONS,Ionis Pharmaceuticals Inc,2422631,-214561,99.4M,-8.8M,-8.1%,0.66%
45826J105,NTLA,Intellia Therapeutics Inc,9525931,-311235,388.47M,-12.69M,-3.2%,2.6%
92337F107,VCYT,Veracyte Inc,7828292,-580814,199.39M,-14.79M,-6.9%,1.3%
69404D108,PACB,Pacific Biosciences of Califor,26634620,-1119059,354.24M,-14.88M,-4%,2.3%
91332U101,U,Unity Software Inc,11935740,-371920,518.25M,-16.15M,-3%,3.4%
45337C102,INCY,Incyte Corp,467566,-260419,29.11M,-16.21M,-35.8%,0.19%
58733R102,MELI,MercadoLibre Inc,43594,-15857,51.64M,-18.78M,-26.7%,0.34%
80810D103,SDGR,Schrodinger Inc/United States,3517355,-389354,175.59M,-19.44M,-10%,1.2%
98980L101,ZM,Zoom Video Communications Inc,10462306,-404727,710.18M,-27.47M,-3.7%,4.7%
77543R102,ROKU,Roku Inc,11958292,-525139,764.85M,-33.59M,-4.2%,5.1%
H17182108,CRSP,CRISPR Therapeutics AG,7338447,-651741,411.98M,-36.59M,-8.2%,2.7%
67066G104,NVDA,NVIDIA Corp,295732,-118587,125.1M,-50.16M,-28.6%,0.83%
88025U109,TXG,10X Genomics Inc,3113549,-1041774,173.86M,-58.17M,-25.1%,1.2%
26142V105,DKNG,DraftKings Inc,18060463,-5870792,479.87M,-155.99M,-24.5%,3.2%
88160R101,TSLA,Tesla Inc,4843621,-596014,1.27B,-156.02M,-11%,8.4%
82509L107,SHOP,Shopify Inc,8874796,-5110995,573.31M,-330.17M,-36.5%,3.8%
30063P105,EXAS,Exact Sciences Corp,7155098,-4224089,671.86M,-396.64M,-37.1%,4.4%
Total,,,,,15.1B,-901.07M,-6.2%,100%
